"id","recipe_id","name","quantity","position","created_at","updated_at"
18748196,2394381,"さつまいも","中1本（200g位）",0,"2013-11-05 00:07:55","2013-11-05 00:07:55"
18748197,2394381,"レモン汁","大さじ1",1,"2013-11-05 00:07:55","2013-11-05 00:07:55"
18748198,2394381,"ハチミツ","大さじ2",2,"2013-11-05 00:07:55","2013-11-05 00:07:55"
18748199,2394381,"水","100cc~",3,"2013-11-05 00:07:55","2013-11-05 00:07:55"
19170329,2437682,"オリーブオイル","大さじ2",0,"2013-12-27 10:57:15","2013-12-27 10:57:15"
19170330,2437682,"酢","大さじ2",1,"2013-12-27 10:57:15","2013-12-27 10:57:15"
19360575,2437682,"砂糖","小さじ1",2,"2014-01-20 11:37:14","2014-01-20 11:37:14"
19170328,2437682,"カレー粉","小さじ1/2",3,"2013-12-27 10:57:15","2013-12-27 10:57:15"
19170327,2437682,"ヒヨコ豆","1缶",4,"2013-12-27 10:57:14","2013-12-27 10:57:14"
19170332,2437682,"クリームチーズ","キューブの2個",5,"2013-12-27 10:57:34","2013-12-27 10:57:34"
19360576,2437682,"パセリ","適量",6,"2014-01-20 11:37:14","2014-01-20 11:37:14"
19384716,2472071,"豚バラ肉","100g",0,"2014-01-22 15:50:07","2014-01-22 15:50:07"
19384718,2472071,"赤味噌","大さじ1",1,"2014-01-22 15:50:07","2014-01-22 15:50:07"
19384719,2472071,"みりん","大さじ1",2,"2014-01-22 15:50:07","2014-01-22 15:50:07"
19384720,2472071,"砂糖","大さじ1",3,"2014-01-22 15:50:07","2014-01-22 15:50:07"
20047992,2551824,"ご飯","2合",0,"2014-03-20 16:00:36","2014-03-20 16:00:36"
20047993,2551824,"干し桜海老","10gくらい",1,"2014-03-20 16:00:36","2014-03-20 16:00:36"
20047994,2551824,"青海苔","小匙1/2",2,"2014-03-20 16:00:36","2014-03-20 16:00:36"
20048084,2551824,"炒りごま","大匙１",3,"2014-03-20 16:07:54","2014-03-20 16:07:54"
20048085,2551824,"白だし（麺つゆでも可）","大匙１",4,"2014-03-20 16:07:54","2014-03-20 16:07:54"
20048086,2551824,"胡麻油","小匙１",5,"2014-03-20 16:07:54","2014-03-20 16:07:54"
20048087,2551824,"海苔","適量",6,"2014-03-20 16:07:54","2014-03-20 16:07:54"
20266800,2577898,"クスクス","50g",1,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266801,2577898,"お湯","50cc",2,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266802,2577898,"オリーブオイル","大さじ1.5",3,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266803,2577898,"ワインビネガー(お酢でも可)","大さじ1",4,"2014-04-08 13:16:40","2014-04-08 13:16:40"
20266804,2577898,"砂糖","ひとつまみ",5,"2014-04-08 13:16:40","2014-04-08 13:16:40"
